date,tweet_count,neg,neu,pos,nlp_tweet_count,share_neutral,share_polarized,anger,disgust,fear,joy,neutral,sadness,surprise,Agreeableness,Conscientiousness,Extroversion,Neuroticism,Openness
2015-03-10,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-11,2,0.065736756,0.86792463,0.06633854,2,1.0,0.0,0.018766757,0.0028868073,0.07781277,0.011618571,0.5812068,0.06824325,0.23946504,0.16666212444378964,0.10730880565241532,0.22609265512252755,0.21231369907626688,0.22086384643844892
2015-03-12,5,0.57868016,0.37724409,0.044075727,5,0.8,0.2,0.18732594,0.2554192,0.030124694,0.0030531809,0.26812315,0.01737998,0.23857383,0.18158082237226494,0.13184866342603357,0.19582205434869407,0.21629773017077059,0.19927763351580868
2015-03-13,4,0.10508852,0.50763214,0.38727933,4,0.75,0.25,0.00619583,0.004989068,0.0033440096,0.010395601,0.47502723,0.0038924546,0.4961558,0.18275661482894642,0.13048217236142792,0.20055597516200005,0.21452171905867973,0.20844429960215674
2015-03-14,1,0.004279763,0.38355255,0.61216766,1,0.0,1.0,0.014957837,0.0016979777,0.021112017,0.06446743,0.63655525,0.011192137,0.25001737,0.15399966212471525,0.10249941980922295,0.23113005701321826,0.21957376858537833,0.22650418956422072
2015-03-15,1,0.008405643,0.62013376,0.37146053,1,1.0,0.0,0.008811464,0.0010073805,0.003583509,0.045543626,0.5006411,0.011544575,0.4288683,0.19195095522947103,0.12143138115439872,0.199645744385485,0.20195486177720706,0.1823852384374097
2015-03-16,2,0.7300849,0.2437912,0.02612383,2,0.0,1.0,0.38257843,0.1728465,0.016636088,0.0020248173,0.39180768,0.023246625,0.010859831,0.18673438241645995,0.1558766762213869,0.19768442474372153,0.20632047106828877,0.20255281817349627
2015-03-17,4,0.060092546,0.3065331,0.63337445,4,0.5,0.5,0.015599936,0.017053774,0.004694553,0.016838526,0.93285936,0.00637162,0.0065822303,0.1868747801846418,0.14917294934384392,0.19947208157232688,0.20911654465358984,0.2037314630438511
2015-03-18,1,0.0022103756,0.022195866,0.9755938,1,0.0,1.0,0.0062792394,0.0009003199,0.0018923843,0.5640528,0.16641602,0.008738842,0.2517204,0.16840819504822008,0.11274894081323067,0.21402107127946887,0.21993993981375673,0.20866570591866038
2015-03-19,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-20,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-21,5,0.21945643,0.5854266,0.19511692,5,0.8,0.2,0.0047349734,0.0015020829,0.0049147075,0.046646167,0.5886731,0.18135527,0.17217371,0.17999462070190486,0.13017989126496785,0.17051491303441194,0.20944345093236882,0.18884083286592107
