date,bitcoin_stockprice_sma_5,bitcoin_stockprice_sma_10,bitcoin_stockprice_sma_20,bitcoin_stockprice_sma_50,bitcoin_stockprice_sma_100,bitcoin_stockprice_ema_12,bitcoin_stockprice_ema_26,bitcoin_stockprice_macd_line,bitcoin_stockprice_macd_signal,bitcoin_stockprice_macd_hist,bitcoin_stockprice_rsi_14,bitcoin_stockprice_bb_mean_20,bitcoin_stockprice_bb_upper_20,bitcoin_stockprice_bb_lower_20,bitcoin_atr_14,bitcoin_pdi_14,bitcoin_mdi_14,bitcoin_dx_14,bitcoin_adx_14,bitcoin_stoch_k_14,bitcoin_stoch_d_3,bitcoin_obv,bitcoin_stockprice_momentum_7,bitcoin_stockprice_roc_7,bitcoin_stockprice_momentum_21,bitcoin_stockprice_roc_21,bitcoin_mfi_14,bitcoin_volatility_std_10,bitcoin_avg_volume_20,bitcoin_volume_spike_20
2021-07-24,32421.028515625,31945.5123046875,32720.398046875,34336.496328125,41286.0206640625,32581.731236504667,33169.57958165977,-587.8483451551001,-909.3692250351576,321.52087988005746,52.50487785741945,32720.398046875,35219.22629339769,30221.56980035232,1706.207198328597,22.84316094786452,21.52784207335329,2.9643658807583275,23.539775669282733,94.2707051850469,77.12847031004497,1759286069193,2759.376953125,8.75074040266881,-376.1015625,-1.084849514622177,43.8100973705789,0.002195951253534393,23075291077.25,0.9388703610486328
2021-07-25,33529.596484375,32302.4580078125,32800.6072265625,34332.4609375,41023.7946484375,33007.64758473472,33331.10609412941,-323.4585093946953,-792.1870819070651,468.72857251236985,58.11968474478489,32800.6072265625,35530.36265480351,30070.851798321484,1690.2702444301262,25.10717151069861,20.178618943330388,10.883220802718114,22.63573603595669,99.75452443093486,91.56880874568913,1780142754480,3553.376953125,11.175262210298095,62.40625,0.1768494583376467,44.05233526944704,0.0028138709086928545,22782047627.5,0.9154877396456711
2021-07-26,34574.96484375,32894.0576171875,32955.72421875,34361.9640625,40790.331796875,33673.784134198606,33627.87861724946,45.90551694914757,-624.5685621358226,670.4740790849702,62.39871364738893,32955.72421875,36309.885146161054,29601.56329133895,1941.8483184886888,39.18092417049757,16.30976106023853,41.216220371326,23.96291348848307,71.61127647169704,88.54550202922628,1831164880692,6519.703125,21.15561898834697,3591.53125,10.642834215208572,57.18300713268837,0.002928234237442811,24008090944.6,2.1252054705114367
2021-07-27,35993.73203125,33681.444921875,33233.3048828125,34478.88875,40622.239375,34555.80832989882,34055.957342360605,499.8509875382151,-399.6846522010151,899.5356397392302,72.73395803757978,33233.3048828125,37651.14608612578,28815.46367949923,2014.945927435925,35.062420954807784,14.59536037174473,41.216220371326,25.19529255154328,90.18976771099548,87.18518953787581,1866262251252,9599.59375,32.205461085321204,5171.74609375,15.106518442620608,65.21258964126133,0.002998457666828076,24523158098.75,1.4311929327646014
2021-07-28,37276.603125,34501.3544921875,33589.231640625,34609.35421875,40464.95578125,35392.74647145285,34495.9535577413,896.7929137115498,-140.38913901850208,1037.182052730052,75.98911757775501,33589.231640625,38935.74423768134,28242.71904356866,2010.566419226216,37.63503623765746,13.58235603838746,46.96193837756119,26.750052967687417,92.84019369758222,84.88041262675826,1904964655947,7885.212890625,24.556345770474763,6140.578125,18.137700814264377,73.13418313320216,0.00301910645739355,24962758486.2,1.5504057661093664
2021-07-29,38419.7984375,35420.4134765625,33899.7521484375,34662.620234375,40300.3096875,36102.85037969087,34904.28454420491,1198.5658354859625,127.40185588239083,1071.1639796035715,75.72756696665307,33899.7521484375,39969.75847711573,27829.74581975927,1955.598226335058,35.92910881432647,12.9666926577808,46.9619383775612,28.193759068392687,92.94945165565534,91.9931376880777,1932131801974,7695.31640625,23.8148463127202,7131.05078125,21.68984485078132,79.26335144061524,0.0028569188103956325,24949314736.15,1.08889347520381
2021-07-30,39796.8703125,36663.2333984375,34335.503515625,34773.27921875,40183.6042578125,37046.34214819997,35447.34101315269,1599.0011350472778,421.72171171536826,1177.2794233319096,84.67280230045971,34335.503515625,41451.94424646278,27219.062784787227,2090.0691677575537,36.829450158152376,11.26583820437886,53.15200890590546,29.9764911996436,100.0,95.26321511774586,1965204584934,8653.99609375,25.77009069688912,8437.53515625,24.96459030330811,85.73328160369142,0.0021855049661609668,25454360210.75,1.2992973575518332
2021-07-31,40654.60234375,37614.78359375,34704.80390625,34859.11515625,40082.2434765625,37750.93494270767,35905.03392421545,1845.901018492216,706.5575730707378,1139.3434454214776,82.87487518914544,34704.80390625,42531.54830401338,26878.05950848662,2021.1152874713,35.36552612936068,10.81803539491392,53.152008905905454,31.631885321519448,95.26702227057866,96.07215797541136,1939401739591,7333.75,21.385905651139915,8105.67578125,24.18123553751417,90.48465570154482,0.002111494934474308,25739066009.4,1.0024779195009137
2021-08-01,40768.19296875,38380.9625,35045.75625,34947.562734375,39971.0558984375,38093.08257171418,36206.50508029208,1886.5774914220965,942.5615567410096,944.015934681087,74.35633069612183,35045.75625,43176.59134778149,26914.921152218503,2091.0883584554927,31.740527704025865,15.071697610676518,35.60785666840356,31.91588327486832,80.52622118798891,91.93108115285588,1912713301476,4624.70703125,13.082553045157107,5734.70703125,16.74846853934431,83.30526974605883,0.0018508742516760632,25857412938.3,1.0321387595380467
2021-08-02,40609.40078125,38943.001953125,35370.75224609375,34949.644453125,39862.5666796875,38263.67683952738,36428.38954193711,1835.287297590272,1121.1067049108622,714.1805926794098,70.97479882710249,35370.75224609375,43625.806995152096,27115.6974970354,2061.212906512243,29.90053716585023,16.951553200978893,27.638006892514465,31.610320676128755,74.66198199282185,83.48507515046315,1887118036040,1864.41015625,4.993393775051902,6046.09765625,18.23538857740616,81.20420260556034,0.0014135012953361652,26181133376.65,0.9776225141890719
