date,sp500_stockprice,sp500_volume,sp500_volatility
2015-12-13,2012.3699951171875,4301060000.0,0.0092668911353606
2015-12-14,2021.93994140625,4612440000.0,0.0093043417098668
2015-12-15,2043.4100341796875,4353540000.0,0.0092483370159636
2015-12-16,2073.070068359375,4635450000.0,0.0096470400069837
2015-12-17,2041.8900146484373,4327390000.0,0.0099963433850977
2015-12-18,2005.550048828125,6683070000.0,0.0104665708015637
2015-12-19,2005.550048828125,6683070000.0,0.0104665708015637
2015-12-20,2005.550048828125,6683070000.0,0.0104665708015637
2015-12-21,2021.1500244140625,3760280000.0,0.0106016825292174
2015-12-22,2038.969970703125,3520860000.0,0.0106262551405594
2015-12-23,2064.2900390625,3484090000.0,0.0108827944340568
2015-12-24,2060.989990234375,1411860000.0,0.0108715911477607
2015-12-25,2060.989990234375,1411860000.0,0.0108715911477607
2015-12-26,2060.989990234375,1411860000.0,0.0108715911477607
2015-12-27,2060.989990234375,1411860000.0,0.0108715911477607
2015-12-28,2056.5,2492510000.0,0.0105609181031224
2015-12-29,2078.360107421875,2542000000.0,0.0104977010923804
2015-12-30,2063.360107421875,2367430000.0,0.0102602705683267
2015-12-31,2043.93994140625,2655330000.0,0.0104072719309228
2016-01-01,2043.93994140625,2655330000.0,0.0104072719309228
2016-01-02,2043.93994140625,2655330000.0,0.0104072719309228
2016-01-03,2043.93994140625,2655330000.0,0.0104072719309228
2016-01-04,2012.6600341796875,4304880000.0,0.0103092919650124
2016-01-05,2016.7099609375,3706620000.0,0.0103254783193787
2016-01-06,1990.260009765625,4336660000.0,0.0105149128818505
2016-01-07,1943.0899658203125,5076590000.0,0.0112790886258122
2016-01-08,1922.030029296875,4664940000.0,0.0113625535979337
2016-01-09,1922.030029296875,4664940000.0,0.0113625535979337
2016-01-10,1922.030029296875,4664940000.0,0.0113625535979337
2016-01-11,1923.6700439453125,4607290000.0,0.0113718618149624
2016-01-12,1938.6800537109373,4887260000.0,0.0115191464953911
2016-01-13,1890.280029296875,5087030000.0,0.0122445798982666
2016-01-14,1921.8399658203125,5241110000.0,0.012520335113413
2016-01-15,1880.3299560546875,5468460000.0,0.0129082668447896
2016-01-16,1880.3299560546875,5468460000.0,0.0129082668447896
2016-01-17,1880.3299560546875,5468460000.0,0.0129082668447896
2016-01-18,1880.3299560546875,5468460000.0,0.0129082668447896
2016-01-19,1881.3299560546875,4928350000.0,0.0127522706378798
2016-01-20,1859.3299560546875,6416070000.0,0.0120687666021797
2016-01-21,1868.989990234375,5078810000.0,0.0121661495139429
2016-01-22,1906.9000244140625,4901760000.0,0.0128879080719266
