date,target_bitcoin_change_volatility_next
2021-07-07,-2.880499896673516
2021-07-08,0.6022055920859914
2021-07-09,-8.524882127904764
2021-07-10,-0.1482934161782245
2021-07-11,0.1563145405513832
2021-07-12,-1.0778032445496355
2021-07-13,-8.802583424890686
2021-07-14,-1.1463673439656152
2021-07-15,0.5010924934457872
2021-07-16,-2.133865212439845
2021-07-17,0.1079821992212126
2021-07-18,-3.3306261966289386
2021-07-19,0.8440650710228148
2021-07-20,0.8265415352436856
2021-07-21,-9.110391397212911
2021-07-22,-0.8588109113828124
2021-07-23,0.1833023014842449
2021-07-24,-0.4454005340596922
2021-07-25,-11.66055269986953
2021-07-26,4.180264110569798
2021-07-27,-3.96774685243243
2021-07-28,-0.0256578552694008
2021-07-29,-2.3918114103831822
2021-07-30,3.0236662491193838
2021-07-31,-3.624700347298993
2021-08-01,4.09143690421514
2021-08-02,0.4901063437668718
2021-08-03,1.2565289131528434
2021-08-04,-1.7381627230477317
2021-08-05,0.7311416958612593
2021-08-06,2.153001731647941
2021-08-07,-0.8639165984439812
2021-08-08,0.6297180404248426
2021-08-09,3.151862311785858
2021-08-10,0.9645316079712308
2021-08-11,-2.645993977059369
2021-08-12,1.1886908088674986
2021-08-13,5.7933354717036645
2021-08-14,-1.8325804677553403
2021-08-15,-0.5956050021234116
2021-08-16,1.7280316506124604
2021-08-17,2.36313154856882
2021-08-18,-2.4768307054236938
2021-08-19,-2.083684118032647
2021-08-20,-3.0383932126447744
2021-08-21,0.7430473989560094
2021-08-22,-0.9734530378322948
2021-08-23,-0.0108933180064552
2021-08-24,3.226559864885248
2021-08-25,-2.724117475894172
2021-08-26,0.464929434743988
2021-08-27,2.129552719076089
2021-08-28,0.0873430744878112
2021-08-29,-3.545926804931976
2021-08-30,2.198928141015233
2021-08-31,-3.2514655114656232
2021-09-01,0.2397823398260001
2021-09-02,-2.0617127736785035
2021-09-03,-1.8249026744023176
2021-09-04,-0.631259891225977
2021-09-05,-1.390414580956345
2021-09-06,-1.946803583463708
2021-09-07,24.68650766255409
2021-09-08,-3.650561420098741
2021-09-09,-0.3451564821226549
2021-09-10,1.476102388166156
2021-09-11,-0.8254580554601154
2021-09-12,-6.969325878824706
2021-09-13,0.5301879571190327
2021-09-14,3.3396400338530308
2021-09-15,-0.0794751264232784
2021-09-16,-1.2230499660583538
2021-09-17,0.2436084004798555
2021-09-18,-1.8484053937290468
2021-09-19,-3.969875894391495
2021-09-20,13.947344872821963
2021-09-21,2.428333268682658
2021-09-22,6.283640926472023
2021-09-23,-0.1224923225671248
2021-09-24,1.1250246433790023
2021-09-25,-1.556356382237356
2021-09-26,-2.258044460187325
2021-09-27,0.374461813124749
2021-09-28,0.6054376768441116
2021-09-29,-0.7962799871513715
2021-09-30,3.3955710004081485
2021-10-01,7.978884084205728
2021-10-02,-0.0488641602144679
2021-10-03,-0.093385164965587
2021-10-04,0.3514890801108006
2021-10-05,0.9220133885838644
2021-10-06,4.194798260680388
2021-10-07,-11.738094522449572
2021-10-08,-0.4363788106795718
2021-10-09,0.1754605444794554
2021-10-10,-1.5339453450075258
2021-10-11,1.817697557600884
2021-10-12,0.9783279115156862
2021-10-13,-0.7411181719408022
2021-10-14,-1.517376535374082
2021-10-15,4.1498154581525615
2021-10-16,0.1167078951235023
2021-10-17,-0.3646419611798013
2021-10-18,-0.1575297194799318
2021-10-19,-0.2561551013858243
2021-10-20,-12.922499560030666
2021-10-21,1.3842399052239165
2021-10-22,-2.253560424328993
2021-10-23,-0.4952078071603583
2021-10-24,-4.203840961476024
2021-10-25,0.3530964442110207
2021-10-26,4.44681941942191
2021-10-27,0.917404564207236
2021-10-28,-1.4576827302872353
2021-10-29,0.228204335181914
2021-10-30,-1.725172664593999
2021-10-31,-10.060854011021592
2021-11-01,-0.1734260729397974
2021-11-02,1.280520057493617
2021-11-03,0.102523060620796
2021-11-04,-1.136688152923826
2021-11-05,-8.088772596248406
2021-11-06,-2.1755518240394456
2021-11-07,1.2207003486659929
2021-11-08,6.717791581462973
2021-11-09,0.2528643614700732
2021-11-10,-1.100734824789451
2021-11-11,-1.6498048086504236
2021-11-12,-0.2156733021475343
2021-11-13,-0.0506431111317096
2021-11-14,-9.43447403504637
2021-11-15,1.9067996851046096
2021-11-16,6.545160469537947
2021-11-17,-0.1087220559168544
2021-11-18,3.3815506889146585
2021-11-19,-0.6431965866767086
2021-11-20,-4.492750745497487
2021-11-21,-0.6826693079614254
2021-11-22,3.0608718363182685
2021-11-23,1.183158089143732
2021-11-24,-1.9169964203014644
2021-11-25,-2.560198035592532
2021-11-26,6.869719013876541
2021-11-27,-1.6027379017821697
2021-11-28,2.513974258918217
2021-11-29,0.2603875678077738
2021-11-30,0.1600920680883355
2021-12-01,0.0556791626183494
2021-12-02,-2.587546559189069
2021-12-03,4.312688225189176
2021-12-04,10.05681947230055
2021-12-05,0.1614377313271742
2021-12-06,1.1460186881645296
2021-12-07,-1.7212669203817033
2021-12-08,-8.264512460508655
2021-12-09,3.835617418636472
2021-12-10,-0.5821555000161349
2021-12-11,4.523959313890957
2021-12-12,0.809754224064041
2021-12-13,4.91028803231599
2021-12-14,-0.8477700454443293
2021-12-15,3.990212671792204
2021-12-16,-2.4150478477859783
2021-12-17,0.5093438810904516
2021-12-18,-2.815870892350114
2021-12-19,-1.0298872621715915
2021-12-20,-1.5193719979512357
2021-12-21,3.4875644645605552
2021-12-22,-1.893435185106373
2021-12-23,2.2085036540843594
2021-12-24,-0.457970229214466
2021-12-25,-0.6075508522454642
2021-12-26,-5.697304961476846
2021-12-27,-0.9973741604571208
2021-12-28,1.6611438698395098
2021-12-29,0.0621335923512766
2021-12-30,0.6989250369280775
2021-12-31,0.0465781955458544
2022-01-01,1.8546849459648351
2022-01-02,-3.353495785441396
2022-01-03,-10.920458617268205
2022-01-04,0.1349950108552988
2022-01-05,3.0273257923536523
2022-01-06,-0.0710008004441764
2022-01-07,1.872969264020341
2022-01-08,-4.853045530914968
2022-01-09,0.0958310001257123
2022-01-10,-4.785526405545193
2022-01-11,0.7031533887041919
2022-01-12,-7.431739005124727
2022-01-13,2.0700724799448844
2022-01-14,-5.98721938880975
2022-01-15,-1.2148052166695678
2022-01-16,-2.2736131063133658
2022-01-17,0.0578786709726442
2022-01-18,0.1157522996284798
2022-01-19,0.228872855869322
2022-01-20,-5.57591987252235
2022-01-21,29.391784181293247
2022-01-22,-4.212837305184247
2022-01-23,4.218211115202242
