date,bitcoin_stockprice,bitcoin_volume,bitcoin_volatility
2015-06-12,229.98199462890625,14017700,0.0113238514847626
2015-06-13,232.4019927978516,13305300,0.0115003101672912
2015-06-14,233.54299926757807,12165900,0.0115278088640033
2015-06-15,236.822998046875,19912100,0.0117743212623813
2015-06-16,250.8950042724609,41612000,0.0157934008416803
2015-06-17,249.28399658203125,43858400,0.0155277824311302
2015-06-18,249.0070037841797,30980200,0.0154801829722439
2015-06-19,244.6060028076172,23965300,0.0158560867395658
2015-06-20,245.2120056152344,20608100,0.0158378417031648
2015-06-21,243.94400024414065,10600900,0.0154332580159904
2015-06-22,246.9900054931641,17692500,0.0155292169425783
2015-06-23,244.29600524902344,15108700,0.0156133044952009
2015-06-24,240.51499938964844,17344900,0.015596025403385
2015-06-25,242.7989959716797,16133100,0.0156813660892024
2015-06-26,243.593994140625,13983500,0.0156878750083596
2015-06-27,250.9900054931641,20488600,0.0165584840798595
2015-06-28,249.0110015869141,15137600,0.0166456810100909
2015-06-29,257.0639953613281,34742900,0.0171823344352418
2015-06-30,263.0719909667969,44533800,0.0172489633894155
2015-07-01,258.6210021972656,27029800,0.0163477776306909
2015-07-02,255.41200256347656,21551900,0.0165789170618201
2015-07-03,256.33599853515625,19033800,0.0165638292635093
2015-07-04,260.885986328125,15620400,0.0166009510756
2015-07-05,271.9129943847656,44156100,0.0178691919671531
2015-07-06,269.0299987792969,49154800,0.0181286160459297
2015-07-07,266.2070007324219,28857600,0.0180739591964476
2015-07-08,270.7850036621094,36980200,0.0178469678583181
2015-07-09,269.2279968261719,40301200,0.017960596648477
2015-07-10,284.8940124511719,100390000,0.0201896007859939
2015-07-11,293.114990234375,41109900,0.0205413233393038
2015-07-12,310.86700439453125,56405000,0.022472878037565
2015-07-13,292.0539855957031,62053900,0.0260773184387853
2015-07-14,287.4639892578125,28727200,0.0264244295882016
2015-07-15,285.8290100097656,27486600,0.0264878303603308
2015-07-16,278.0889892578125,49482600,0.0253217730315723
2015-07-17,279.47198486328125,27591400,0.0252539697689335
2015-07-18,274.9010009765625,25187100,0.0255121064160725
2015-07-19,273.614013671875,15332500,0.02524826777076
2015-07-20,278.9809875488281,22711400,0.0254082324971261
2015-07-21,275.8330078125,22930700,0.0255122801608855
2015-07-22,277.22198486328125,19389800,0.0254648757874421
2015-07-23,276.04901123046875,18531300,0.025359308608009
2015-07-24,288.27801513671875,37199400,0.0260565558705529
2015-07-25,288.6969909667969,20662200,0.0260613496172684
2015-07-26,292.6860046386719,16032300,0.0260965988211098
2015-07-27,293.6239929199219,30592000,0.0257097246936548
2015-07-28,294.427001953125,25453600,0.0255952346913956
2015-07-29,289.5899963378906,24672600,0.0254085096423137
2015-07-30,287.72198486328125,21635800,0.0252136183799974
2015-07-31,284.6499938964844,23629100,0.0250661081999027
2015-08-01,281.6010131835937,18995000,0.0250310089476832
2015-08-02,282.614013671875,17722200,0.0250309992257567
2015-08-03,281.2269897460937,21474100,0.0249234729602913
2015-08-04,285.2179870605469,21908700,0.023932918170818
2015-08-05,281.8819885253906,20128000,0.0239532848230998
2015-08-06,278.5769958496094,18792100,0.0239760529232485
2015-08-07,279.5849914550781,42484800,0.0238006564181339
2015-08-08,260.9970092773437,58533000,0.0269926233253252
2015-08-09,265.0830078125,23789600,0.0249349896797212
2015-08-10,264.4700012207031,20979400,0.0242455702836342
2015-08-11,270.385986328125,25433900,0.0218010108507595
2015-08-12,266.3760070800781,26815400,0.0190062752511968
2015-08-13,264.0799865722656,27685500,0.0188846543250937
2015-08-14,265.67999267578125,27091200,0.0189446213864979
2015-08-15,261.5509948730469,19321100,0.0185254495362034
2015-08-16,258.5069885253906,29717000,0.018558036989698
2015-08-17,257.9760131835937,21617900,0.0183716342012674
2015-08-18,211.07899475097656,42147200,0.0406457369550141
2015-08-19,226.6840057373047,60869200,0.0429225766048084
2015-08-20,235.3500061035156,32275000,0.0436693948559349
2015-08-21,232.56900024414065,23173800,0.0436408030378104
2015-08-22,230.38999938964844,23205900,0.0436444253067539
2015-08-23,228.16900634765625,18406600,0.0426380582155665
2015-08-24,210.4949951171875,59220700,0.0446118433010363
2015-08-25,221.60899353027344,61089200,0.0458342307853299
2015-08-26,225.8309936523437,31808000,0.0460700094794824
2015-08-27,224.7689971923828,21905400,0.0460260607182184
2015-08-28,231.39599609375,31336600,0.0465185065745952
2015-08-29,229.77999877929688,17142500,0.0465182093619443
2015-08-30,228.7610015869141,19412600,0.0465172837411237
2015-08-31,230.05599975585932,20710700,0.0465714033171821
2015-09-01,228.1210021972656,20575200,0.0465311738768156
2015-09-02,229.28399658203125,18760400,0.0465834615994849
2015-09-03,227.18299865722656,17482000,0.0464169525846146
2015-09-04,230.29800415039065,20962400,0.0465691959541806
2015-09-05,235.0189971923828,20671400,0.0468168503804783
2015-09-06,239.83999633789065,25473700,0.047029675241304
2015-09-07,239.8470001220703,21192200,0.0454686338245964
2015-09-08,243.60699462890625,26879200,0.0454689257298752
2015-09-09,238.16799926757807,23635700,0.0456115298085607
2015-09-10,238.4770050048828,21215500,0.0453660629537364
2015-09-11,240.10699462890625,19224700,0.0453620682040186
2015-09-12,235.22900390625,17962600,0.045460591595169
2015-09-13,230.51199340820312,18478800,0.0455166747509398
2015-09-14,230.6439971923828,20997800,0.045478738112666
2015-09-15,230.3040008544922,19177800,0.0454587998630921
2015-09-16,229.09100341796875,20144200,0.0454582225555674
2015-09-17,229.8099975585937,18935400,0.0262033714109244
2015-09-18,232.9750061035156,20242200,0.0229149538536584
2015-09-19,231.4929962158203,12712600,0.0218749182669473
2015-09-20,231.2120056152344,14444700,0.0217707394499482
2015-09-21,227.0850067138672,19678800,0.0219520954612048
2015-09-22,230.6179962158203,25009300,0.0220677660559038
2015-09-23,230.2830047607422,17254100,0.0159298935509003
2015-09-24,234.5290069580078,25097800,0.0134004167251184
2015-09-25,235.1439971923828,22363600,0.0130130573122608
2015-09-26,234.33999633789065,13724100,0.012994474848341
2015-09-27,232.7570037841797,14179900,0.0119701714617737
2015-09-28,239.1419982910156,24713000,0.0128472663319236
2015-09-29,236.6869964599609,22691300,0.0129823902914861
2015-09-30,236.0599975585937,19743500,0.0129713853318212
2015-10-01,237.5489959716797,20488800,0.0128855675672611
2015-10-02,237.29299926757807,19677900,0.0128730876032819
2015-10-03,238.72999572753903,16482700,0.0127507257755026
2015-10-04,238.25900268554688,12999000,0.0125625668316635
2015-10-05,240.38299560546875,23335900,0.0121275412673421
2015-10-06,246.06300354003903,27535100,0.0123084501228018
2015-10-07,242.968994140625,22999200,0.0125531345920261
2015-10-08,242.3040008544922,18515300,0.0122333959257169
2015-10-09,243.93099975585932,17353100,0.0115323527433927
2015-10-10,244.9409942626953,15912700,0.0115481960041377
2015-10-11,247.0500030517578,16827300,0.0115837627894136
2015-10-12,245.30799865722656,17388300,0.0109678655278572
2015-10-13,249.50799560546875,28198500,0.0105308159614732
2015-10-14,251.988998413086,27462600,0.0106049889830995
2015-10-15,254.32000732421875,25223500,0.0106305927498026
2015-10-16,262.8689880371094,35901500,0.0118029004074576
2015-10-17,270.6400146484375,43199600,0.0126190504512315
2015-10-18,261.6430053710937,22434300,0.0144036070180036
