date,nasdaq_stockprice_sma_5,nasdaq_stockprice_sma_10,nasdaq_stockprice_sma_20,nasdaq_stockprice_sma_50,nasdaq_stockprice_sma_100,nasdaq_stockprice_ema_12,nasdaq_stockprice_ema_26,nasdaq_stockprice_macd_line,nasdaq_stockprice_macd_signal,nasdaq_stockprice_macd_hist,nasdaq_stockprice_rsi_14,nasdaq_stockprice_bb_mean_20,nasdaq_stockprice_bb_upper_20,nasdaq_stockprice_bb_lower_20,nasdaq_atr_14,nasdaq_pdi_14,nasdaq_mdi_14,nasdaq_dx_14,nasdaq_adx_14,nasdaq_stoch_k_14,nasdaq_stoch_d_3,nasdaq_obv,nasdaq_stockprice_momentum_7,nasdaq_stockprice_roc_7,nasdaq_stockprice_momentum_21,nasdaq_stockprice_roc_21,nasdaq_mfi_14,nasdaq_volatility_std_10,nasdaq_avg_volume_20,nasdaq_volume_spike_20
2023-08-22,13375.16015625,13473.158984375,13652.372998046874,13884.28837890625,13555.900703125,13517.219924535832,13674.022118807054,-156.8021942712221,-136.13765209558335,-20.66454217563876,30.29906620979164,13652.372998046874,14128.378314665137,13176.367681428614,187.85276176630995,19.544427312531788,33.084310266555995,25.72716651938908,22.83266760141618,43.81336649051912,34.0055971845346,520521240000.0,-125.1796875,-0.9183422355111048,-778.0400390625,-5.446968165940646,23.761087429376506,0.00031530311062003084,5019489500.0,0.8531604658202792
2023-08-23,13461.21015625,13480.77705078125,13640.438525390626,13882.37359375,13569.45890625,13548.575362828396,13677.504204335237,-128.92884150683858,-134.6958899778344,5.767048470995832,44.60217046911877,13640.438525390626,14095.506645002852,13185.3704057784,192.3725561267521,23.597150154874523,29.99935175559761,11.945185548522105,22.054990311923746,71.2083307429282,52.59359651849548,524649090000.0,246.400390625,1.828624554202385,-252.419921875,-1.8064251730734004,35.31294890605092,0.0003524568457462543,4924033500.0,0.8383066443394425
2023-08-24,13495.848046875,13448.341015625,13618.175,13875.81998046875,13580.66810546875,13535.559111095185,13661.686835611328,-126.12772451614546,-132.9822568854966,6.854532369351148,40.46737822686418,13618.175,14061.282877091066,13175.067122908931,205.1924153989484,23.247105490406724,26.116140649860125,5.812087704485576,20.89478298282102,44.90952442455967,53.31040721933565,520265270000.0,147.0400390625,1.1041587101005668,-495.75,-3.551289063896379,22.10873842505393,0.0003318989955726112,4875752000.0,0.8991064352739844
2023-08-25,13555.8220703125,13444.30107421875,13602.2455078125,13874.0521875,13591.56890625,13544.034692561308,13656.424876723451,-112.39018416214276,-128.86384234082584,16.47365817868308,45.58397269280296,13602.2455078125,14023.671774085587,13180.819241539411,208.89797947759493,21.203681269617142,26.777891904223733,11.617398650958783,20.23211267340229,63.734742359751614,59.95086584241315,524235330000.0,299.8701171875,2.256226579765297,-318.58984375,-2.290490626243147,22.52816112638685,0.00034647142379609126,4806782500.0,0.8259287787620929
2023-08-26,13574.4341796875,13455.903125,13586.316015625,13872.65080078125,13600.58701171875,13551.206338417262,13651.55269256801,-100.34635415074808,-123.16034470281028,22.813990552062208,48.13751139306093,13586.316015625,13982.193236151645,13190.438795098356,208.89797947759493,21.203681269617142,26.777891904223733,11.617398650958783,19.616775957513468,63.734742359751614,57.45966971468763,524235330000.0,299.8701171875,2.256226579765297,-318.58984375,-2.290490626243147,22.52816112638685,0.0003578855982070396,4737813000.0,0.8379520255442754
2023-08-27,13591.390234375,13483.2751953125,13566.128515625,13871.2494140625,13609.91451171875,13557.274654141527,13647.041410942602,-89.76675680107292,-116.48162712246284,26.71487032138991,48.13751139306093,13566.128515625,13912.4625198491,13219.7945114009,208.89797947759493,21.203681269617142,26.777891904223733,11.617398650958783,19.045391864188133,63.734742359751614,63.734742359751614,524235330000.0,299.8701171875,2.256226579765297,-318.58984375,-2.290490626243147,22.52816112638685,0.00035910858936723326,4691699500.0,0.846188039110348
2023-08-28,13588.21015625,13524.71015625,13557.168994140626,13872.1376171875,13620.386806640625,13580.021612398605,13651.344260710744,-71.32264831213979,-107.44983136039822,36.12718304825843,52.18862313297438,13557.168994140626,13877.10954841048,13237.22843987077,203.6914150542316,21.745669416311163,27.46236267234169,11.617398650958796,18.51482092038604,80.74682076562843,69.40543516171054,527902010000.0,207.5400390625,1.537608132007362,-289.2705078125,-2.0670446731414494,22.52816112638685,0.0003346143578747914,4610806000.0,0.7952362341855198
2023-08-29,13684.1681640625,13590.00810546875,13568.256005859375,13877.303203125,13633.245400390624,13635.981328279588,13673.00466848217,-37.0233402025824,-93.36453312883506,56.34119292625266,55.162957738740126,13568.256005859375,13925.449036439257,13211.062975279494,209.3384568360721,28.6765167082527,24.379304185880844,8.099417650980126,17.770863543999898,97.9888717980722,80.82347830781741,532650190000.0,437.8896484375,3.242217233232858,59.439453125,0.4281048822497135,35.169475257516154,0.00034061452483759297,4568647000.0,1.0392967545971488
2023-08-30,13769.9,13662.86103515625,13582.32197265625,13882.475390625,13646.230693359375,13694.95490397696,13698.656883432566,-3.701979455607216,-75.43202239418949,71.73004293858227,62.40207368668866,13582.32197265625,13986.698079878475,13177.945865434023,203.43000400403125,30.597166916101287,23.29542475659049,13.548693675481008,17.469279981962835,96.45572595721872,91.73047284030643,537014790000.0,298.279296875,2.1738841102365125,297.2900390625,2.1665181162689784,49.347547535094265,0.0003032438796191988,4521923000.0,0.9652088281910152
2023-08-31,13858.7638671875,13716.5990234375,13601.827978515625,13884.7955859375,13660.977890625,13747.264876682426,13723.568945886636,23.695930795791355,-55.60643175619333,79.30236255198469,69.45261785216584,13601.827978515625,14053.7457097127,13149.910247318548,196.3413932269576,31.76024996562029,22.41243739396932,17.255582152684607,17.454015851300106,91.63612699583922,95.36024158371004,541583400000.0,571.0,4.240948335419215,296.9794921875,2.1617389961771982,63.31723732372157,0.00028294590870544113,4518409500.0,1.0111102147780098
